"Kuntz","Doug","Lost and Found Cat : The True Story of Kunkush's Incredible Journey","The true story about one cat’s journey to be reunited with his war-torn family has been seen by millions of people and is now a heartwarming picture book.  When an Iraqi family is forced to flee their home, they can’t bear to leave their beloved cat, Kunkush, behind. So they carry him with them from Iraq to Greece, keeping their secret passenger hidden away.  But during the crowded boat crossing to Greece, his carrier breaks and the frightened cat runs from the chaos. In one moment, he is gone. After an unsuccessful search, his family has to continue their journey, leaving brokenhearted.  A few days later, aid workers in Greece find the lost cat. Knowing how much his family has sacrificed already, they are desperate to reunite them with the cat they love so much. A worldwide community comes together to spread the word on the Internet and in the news media, and after several months the impossible happens—Kunkush’s family is found, and they finally get their happy ending in their new home.  This remarkable true story is told by the real people involved, with the full cooperation of Kunkush’s family.","nullPicture Books, Nonfiction, Cats, Animals, Childrens, Family, History"
"Sparks","Beatrice","Go Ask Alice","",""
"Hopkins","Ellen","Identical","Do twins begin in the womb? Or in a better place?  Kaeleigh and Raeanne are identical down to the dimple. As daughters of a district-court judge father and a politician mother, they are an all-American family—on the surface. Behind the facade each sister has her own dark secret, and that's where their differences begin.  For Kaeleigh, she's the misplaced focus of Daddy's love, intended for a mother whose presence on the campaign trail means absence at home. All that Raeanne sees is Daddy playing a game of favorites—and she is losing. If she has to lose, she will do it on her own terms, so she chooses drugs, alcohol, and sex.  Secrets like the ones the twins are harboring are not meant to be kept—from each other or anyone else. Pretty soon it's obvious that neither sister can handle it alone, and one sister must step up to save the other, but the question is—who?","nullYoung Adult, Poetry, Fiction, Contemporary, Mental Health, Realistic Fiction, Abuse"
"McFerran","Shannon","Synchro Boy","Sixteen-year-old Bart Lively desperately wants to feel comfortable in his own skin. Sure, he's a competitive swimmer, but being a jock doesn't mean he isn't the target of gay jokes, and the macho culture of his swim club is wearing him down. At the same time, he becomes drawn to the art and athleticism of synchronized swimming, the idea of the human form moving to music under water. So he jumps at the opportunity to become the first boy on the synchro swimming team, even if it means others start questioning his masculinity even more. He starts finding himself attracted to his teammate Erika, and when she asks Bart to swim with her in a brand new event, the mixed duet, he commits to taking them all the way to the Olympics. But Bart's difficulty at achieving the skills he needs, and Erika's sudden decision to quit the duet, threaten to derail his dream and kill what made the sport so liberating and alluring in the first place. And it doesn't help that as he falls in love with Erika, he's falling in lust with her enemy and synchro rival Chelsea ... not to mention a cute boy in the diving club. Ultimately, Bart will have to give in to his intuition that leads him to realize there are many ways to be a boy. If he doesn't, he'll not only lose his friendship with Erika, but his new Olympic dream--and the joy he feels as he dances in the deep.","nullYoung Adult, LGBT, Romance, Sports, Contemporary, Fiction"
"Reynolds","Jason","Patina (Track Series)","Patina, or Patty, runs like a flash. She runs for many reasons—to escape the taunts from the kids at the fancy-schmancy new school she’s been sent to since she and her little sister had to stop living with their mom. She runs from the reason WHY she’s not able to live with her “real” mom any more: her mom has The Sugar, and Patty is terrified that the disease that took her mom’s legs will one day take her away forever. So Patty’s also running for her mom, who can’t. But can you ever really run away from any of this? As the stress builds up, it’s building up a pretty bad attitude as well. Coach won’t tolerate bad attitude. No day, no way. And now he wants Patty to run relay…where you have to depend on other people? How’s she going to do THAT?","nullMiddle Grade, Realistic Fiction, Sports, Young Adult, Audiobook, Fiction, Contemporary"
"Do","Anh","WeirDo Series: Weirdomania!","What's a sheep's best wrestling move? The LAMB CHOP!  Everyone is going nuts for WRESTLE-CRAZIA the coolest wrestling show around! Can Weir come up with an awesome idea to WIN tickets for his whole family to see the show? It wont be easy... but it will be FUNNY!","nullChildrens"
"Snyder","Dianne","The Boy of the Three-Year Nap","Lazy Taro gets his comeuppance when his wise mother uses his trick to avoid work to her own advantage.","nullPicture Books, Childrens, Japan, Asia, Cultural, Folklore, Folk Tales"
"Jules","Jacqueline","Abuela's Birthday (Sofía Martínez Series)","Sofia wants to make her grandma's birthday extra special. With the help of her cousins, she has the perfect plan. But an uninvited helper might ruin the entire surprise.","nullSpanish Literature, Chapter Books, Childrens, Picture Books, Family"
"Sherman","Jill","25 Women Who Fought Back","Discover 25 women who challenged the status quo and fought for what they believed in. From all corners of the world, these women show us that barriers are meant to be broken and obstacles can be overcome. Learn about some of the fierce women who persevered in the face of adversity to fight for what they thought was right.","nullHistory, Nonfiction"
"Greenman","Catherine","Hooked","Thea Galehouse has always known how to take care of herself. With a flighty club-owner mom and a standoffish, recovering-alcoholic dad, Thea has made her own way in her hometown of New York, attending the prestigious and competitive Stuyvesant High School. But one chat with Will, a handsome and witty senior, and she's a goner—completely hooked on him and unable to concentrate on anything else. Always worried that she loves Will more than he loves her, Thea is pleasantly surprised when their romance weathers his move to college and Will goes out of his way to involve her in his life. But then, Thea misses a period. And that starts Thea and Will on a wild ride that neither of them could have possibly prepared for. When they decide to keep the baby, their concerned parents chip in what they can to keep Will in school and give both teenagers a comfortable place to raise their child. But when a freak accident leaves Thea shaken and threatens to upend their little family altogether, Thea is forced to turn to the last place she would have chosen for her stiff, uncompromising father. This smart, touching first novel brims with realistic, beautifully drawn characters, and reminds us that love is never as easy or predictable as we might like it to be.","nullYoung Adult, Romance, Fiction, Realistic Fiction, High School, Young Adult Contemporary, Teen"
