title,authors,isbn,description,genre
The Kestrel (Westmark  #2),Lloyd Alexander,0141310693,No description available,"Fantasy, Fiction, Fiction, fantasy, general"
The God in the Moon (Age of Conan: Hyborian Adventures: A Soldier's Quest  #1),Richard A. Knaak,0441014224,No description available,"Dungeons & Dragons Novel, collection:DragonLance"
Firedrake (Dragonrealm #1),Richard A. Knaak,0595092144,No description available,"American Fantasy fiction, War stories, Fiction, Imaginary wars and battles, Imaginary places, Fantasy fiction, American, Children's fiction, Adventure and adventurers, fiction, Juvenile fiction, War and society, War, Fantasy, Fantasy fiction, Westmark (imaginary place), fiction"
Night of Blood (Dragonlance: The Minotaur Wars  #1),Richard A. Knaak/Margaret Weis,0786931965,No description available,"Fiction, fantasy, general"
The Eye of Charon (Age of Conan: Hyborian Adventures: A Soldier's Quest  #2),Richard A. Knaak,0441014453,No description available,"Dragonrealm (Imaginary place), Fiction, Fiction, fantasy, epic, Dragonrealm (imaginary place), fiction"
Children of the Drake (Dragonrealm: Origins  #2),Richard A. Knaak,059509208X,No description available,Unknown
Sleeping Beauty Trilogy (Sleeping Beauty  #1-3),A.N. Roquelaure/Anne Rice,0452156610,No description available,"Odysseus (Greek mythology), Juvenile literature, Adaptations, Greek Mythology, Children's fiction, Adventure and adventurers, fiction"
Beauty's Punishment,A.N. Roquelaure/Anne Rice,0452266629,No description available,"Sleeping Beauty Adaptations, Sleeping Beauty (Tale), Bondage (Sexual behavior), fiction, Sexual dominance and submission, fiction, Fiction, erotica, Sleeping Beauty (fictitious character : roquelaure), fiction, Erotic stories, fiction, Cuentos eróticos"
The Land of the Dead (Tales from the Odyssey  #2),Mary Pope Osborne/Homer/Troy Howell,0786809299,No description available,"Odysseus (Greek mythology), Juvenile literature, Greek Mythology, Children's fiction, Adventure and adventurers, fiction, Odysseus (greek mythology), Odysseus (greek mythology), juvenile literature, Adaptations"
The One-Eyed Giant (Tales from the Odyssey  #1),Mary Pope Osborne/Homer/Troy Howell,0786809280,No description available,"Tsunamis, Natural disasters, Juvenile literature, Natural disasters, juvenile literature, Ouvrages pour la jeunesse, Catastrophes naturelles"
Tsunamis and Other Natural Disasters (Magic Tree House Research Guide  #15),Mary Pope Osborne/Natalie Pope Boyce/Salvatore Murdocca,0375832211,No description available,"Odysseus (Greek mythology), Juvenile literature, Children's fiction, Fantasy fiction"
The Final Battle (Tales from the Odyssey  #6),Mary Pope Osborne/Troy Howell,0786809949,No description available,"Juvenile literature, Olympic games (Ancient), History, Olympics, juvenile literature, Greece, juvenile literature, Olympics, Greece, history"
Ancient Greece and the Olympics (Magic Tree House Research Guide  #10),Mary Pope Osborne/Natalie Pope Boyce/Salvatore Murdocca,0375823786,No description available,"Dragonrealm (imaginary place), fiction, Fiction, fantasy, epic, Fantasy fiction"
Ancient Rome and Pompeii (Magic Tree House Research Guide  #14),Mary Pope Osborne/Natalie Pope Boyce/Salvatore Murdocca,0375832203,No description available,"Fiction, Juvenile fiction, Magic, Time travel, Castles, Tree houses, Halloween, Haunted houses, Ravens, New York Times bestseller, nyt:series_books=2007-03-10, Children's fiction, Castles, fiction, Ravens, fiction, Halloween, fiction, Time travel, fiction, Magic, fiction, Tree houses, fiction, Space and time, Magia, Spanish language materials, Casas embrujadas, Ficción juvenil, Cabañas en los árboles, Cuervos, Castillos, Ficcion juvenil, Noche de brujas, Viaje a través del tiempo"
Haunted Castle on Hallows Eve (Magic Tree House #30),Mary Pope Osborne/Salvatore Murdocca,1400091055,No description available,"Juvenile fiction, Fiction, Earthquakes, Magic, Tree houses, Time travel, New York Times bestseller, nyt:series_books=2007-03-10, Tree Houses, San Francisco Earthquake and Fire, Calif., 1906, Fires, Children's fiction, Earthquakes, fiction, Magic, fiction, Time travel, fiction, Tree houses, fiction, San francisco (calif.), fiction, Space and time, Magia, Ficción juvenil, Cabañas en los árboles, Viaje a través del tiempo, Terremotos, Spanish language materials"
Earthquake in the Early Morning (Magic Tree House  #24),Mary Pope Osborne/Salvatore Murdocca,067989070X,No description available,"Translations into Ukrainian, Poetry (poetic works by one author), American poetry"
E.E. Cummings: Complete Poems 1904-1962 (Revised  Corrected  and Expanded Edition),E.E. Cummings/George J. Firmage,0871401525,No description available,"Translations into Ukrainian, Poetry (poetic works by one author), American poetry"
Selected Poems,E.E. Cummings/Richard S. Kennedy,0871401541,No description available,"American Manuscripts, Manuscripts, Poetry (poetic works by one author)"
Tulips & Chimneys,E.E. Cummings/Richard S. Kennedy,0871401657,No description available,"Fiction, sagas, Sisters, fiction, Young women, fiction, Fiction, general, Siblings, fiction"
Kokopelli: The Magic  Mirth  and Mischief of an Ancient Symbol,Dennis Slifer/R. Carlos Nakai,1423601742,No description available,"Rock paintings, Pueblo art, Antiquities, Folklore, Pueblo Indians, Kokopelli (Pueblo deity), Indians of north america, southwest, new, Indian mythology, north america, Indians of north america, folklore, Indians of north america, antiquities, Southwest, new, antiquities, Petroglyphs, Pueblo-Indianen, Rotstekeningen, Pueblo mythology"
The Coal Tattoo,Silas House,0345480058,No description available,"Southern appalachian Region in fiction, Coal miners, Bildungsromans, Young men in fiction, Young men, Fiction, Coal miners in fiction, Kentucky in fiction, Mountain life in fiction, Mountain life, Large type books, Fiction, general, Kentucky, fiction"
Clay's Quilt,Silas House,0345450698,No description available,"Baptist authors, Christian life, Christian life, baptist authors, Devotional literature"
Things Pondered: From the Heart of a Lesser Woman,Beth Moore,0805427317,No description available,"Fiction, action & adventure"
Scholastic Success with 4th Grade Workbook,Terry Cooper,0439569729,No description available,"Language arts (Elementary), Mathematics, Study and teaching (Elementary), Maps, Creative activities and seat work, Fourth grade (Education), Study skills, Education, elementary"
The Punisher  Vol. 6: Confederacy of Dunces,Garth Ennis,0785113444,No description available,"Civilization, Juvenile literature, Eruption, 79, Rome, history, Rome, history, juvenile literature, Pompeii (extinct city)"
Thunderbird Falls  (Walker Papers  #2),C.E. Murphy,0373802358,No description available,"Fantasy, Fiction, Women shamans, Fiction, fantasy, contemporary, Fiction, romance, contemporary, Seattle (wash.), fiction, Fiction, romance, fantasy"
Coyote Dreams (Walker Papers  #3),C.E. Murphy,0373802722,No description available,"Ethics, Political and social views, Power (Philosophy), History, Metafysica, Politiek, Politieke filosofie, Contributions in the concept of power, Spinoza, benedictus de, 1632-1677, The concept of power"
Savage Anamoly: The Power of Spinoza’s Metaphysics and Politics,Antonio Negri/Michael Hardt,0816636702,No description available,"Women shamans, Demoniac possession, Fiction, Fiction, fantasy, contemporary, Seattle (wash.), fiction, Fiction, romance, fantasy, Supernatural, Policewomen"
Time for Revolution,Antonio Negri/Matteo Mandarini,0826479316,No description available,"Globalization, Resistance to Government, Imperialism, Capitalism, Philosophy"
